institution_code,name,institution_type,page
B0001H111000001,中国工商银行股份有限公司,国有大型商业银行,1
B0002H111000001,中国农业银行股份有限公司,国有大型商业银行,1
B0003H111000001,中国银行股份有限公司,国有大型商业银行,1
B0004H111000001,中国建设银行股份有限公司,国有大型商业银行,1
B0005H131000001,交通银行股份有限公司,国有大型商业银行,1
B0018H111000001,中国邮政储蓄银行股份有限公司,国有大型商业银行,1
B0006H111000001,中信银行股份有限公司,股份制商业银行,1
B0007H111000001,中国光大银行股份有限公司,股份制商业银行,2
B0011H144030001,招商银行股份有限公司,股份制商业银行,2
B0015H131000001,上海浦东发展银行股份有限公司,股份制商业银行,2
B0009H111000001,中国民生银行股份有限公司,股份制商业银行,2
B0008H111000001,华夏银行股份有限公司,股份制商业银行,2
B0014H144030001,平安银行股份有限公司,股份制商业银行,2
B0013H135010001,兴业银行股份有限公司,股份制商业银行,2
B0012H144010001,广发银行股份有限公司,股份制商业银行,2
B0017H112000001,渤海银行股份有限公司,股份制商业银行,2
B0010H133010001,浙商银行股份有限公司,股份制商业银行,2
B0016H137010001,恒丰银行股份有限公司,股份制商业银行,2
B0107H211000001,北京银行股份有限公司,城市商业银行,2
B0108H212000001,天津银行股份有限公司,城市商业银行,2
B0282H213010001,河北银行股份有限公司,城市商业银行,2
B0340H313060001,保定银行股份有限公司,城市商业银行,3
B1018H313090001,沧州银行股份有限公司,城市商业银行,3
B1021H313080001,承德银行股份有限公司,城市商业银行,3
B0331H313040001,邯郸银行股份有限公司,城市商业银行,3
B1016H313110001,衡水银行股份有限公司,城市商业银行,3
B0277H313100001,廊坊银行股份有限公司,城市商业银行,3
B0111H313030002,秦皇岛银行股份有限公司,城市商业银行,3
B1013H313020001,唐山银行股份有限公司,城市商业银行,3
B0301H313050001,邢台银行股份有限公司,城市商业银行,3
B0772H313070001,张家口银行股份有限公司,城市商业银行,3
B0116H214010001,晋商银行股份有限公司,城市商业银行,3
B1033H215010001,内蒙古银行股份有限公司,城市商业银行,3
B1067H315060001,鄂尔多斯银行股份有限公司,城市商业银行,3
B1068H315030001,乌海银行股份有限公司,城市商业银行,3
B0264H221010001,盛京银行股份有限公司,城市商业银行,4
B0127H321070001,锦州银行股份有限公司,城市商业银行,4
B0124H321030001,鞍山银行股份有限公司,城市商业银行,4
B1071H321050001,本溪银行股份有限公司,城市商业银行,4
B0330H321130001,朝阳银行股份有限公司,城市商业银行,4
B0126H321060001,丹东银行股份有限公司,城市商业银行,4
B0125H321040001,抚顺银行股份有限公司,城市商业银行,4
B0129H321090001,阜新银行股份有限公司,城市商业银行,4
B0132H321140001,葫芦岛银行股份有限公司,城市商业银行,4
B0131H321110001,盘锦银行股份有限公司,城市商业银行,4
B0267H321120001,铁岭银行股份有限公司,城市商业银行,4
B0128H321080001,营口银行股份有限公司,城市商业银行,4
B0302H222010001,吉林银行股份有限公司,城市商业银行,4
B0306H223010001,哈尔滨银行股份有限公司,城市商业银行,4
B1056H223010001,龙江银行股份有限公司,城市商业银行,5
B0139H231000001,上海银行股份有限公司,城市商业银行,5
B0243H232010001,江苏银行股份有限公司,城市商业银行,5
B0140H232010001,南京银行股份有限公司,城市商业银行,5
